52.32.223.31 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 18:11:54 - Java/1.8.0_45
69.171.228.119 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 18:13:57 - facebookexternalhit/1.1
23.96.208.137 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 18:29:56 - Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
173.252.102.117 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 20:01:00 - facebookexternalhit/1.1
189.122.217.52 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 20:20:15 - Wget(linux)
173.252.80.113 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 20:47:23 - facebookexternalhit/1.1
69.171.228.121 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 21:15:38 - facebookexternalhit/1.1
222.83.250.98 - GET - HTTP/1.1 - Friday, March 17th 2017 @ 22:01:50 - 
173.252.102.115 - GET - HTTP/1.1 - Saturday, March 18th 2017 @ 04:04:23 - facebookexternalhit/1.1
173.252.124.54 - GET - HTTP/1.1 - Saturday, March 18th 2017 @ 04:49:03 - facebookexternalhit/1.1
173.252.79.113 - GET - HTTP/1.1 - Saturday, March 18th 2017 @ 05:48:07 - facebookexternalhit/1.1
191.96.249.97 - GET - HTTP/1.1 - Saturday, March 18th 2017 @ 08:24:06 - 
